# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_rpy.bag'
# timestamp tx ty tz qx qy qz qw
1305031226.5733 1.3429 0.7088 1.6144 -0.6718 -0.4924 0.0131 0.5533
1305031226.5933 1.3433 0.7091 1.6145 -0.6717 -0.4911 0.0092 0.5545
1305031226.6033 1.3431 0.7094 1.6144 -0.6710 -0.4913 0.0086 0.5553
1305031226.6133 1.3431 0.7096 1.6143 -0.6705 -0.4909 0.0083 0.5562
1305031226.6233 1.3430 0.7097 1.6144 -0.6702 -0.4909 0.0073 0.5567
1305031226.6333 1.3431 0.7099 1.6144 -0.6697 -0.4904 0.0066 0.5576
1305031226.6433 1.3429 0.7101 1.6145 -0.6687 -0.4905 0.0054 0.5587
1305031226.6533 1.3429 0.7104 1.6145 -0.6684 -0.4898 0.0043 0.5597
1305031226.6633 1.3431 0.7107 1.6144 -0.6688 -0.4891 0.0024 0.5599
1305031226.6733 1.3433 0.7109 1.6143 -0.6697 -0.4884 0.0006 0.5594
1305031226.6833 1.3436 0.7113 1.6140 -0.6708 -0.4875 -0.0014 0.5590
1305031226.6933 1.3437 0.7114 1.6142 -0.6714 -0.4869 -0.0040 0.5587
1305031226.7033 1.3441 0.7116 1.6141 -0.6716 -0.4860 -0.0059 0.5593
1305031226.7133 1.3441 0.7118 1.6142 -0.6709 -0.4854 -0.0072 0.5606
1305031226.7233 1.3441 0.7120 1.6143 -0.6701 -0.4851 -0.0084 0.5618
1305031226.7332 1.3440 0.7121 1.6142 -0.6693 -0.4850 -0.0095 0.5628
1305031226.7433 1.3439 0.7122 1.6141 -0.6691 -0.4853 -0.0098 0.5628
1305031226.7533 1.3440 0.7122 1.6139 -0.6697 -0.4863 -0.0090 0.5612
1305031226.7632 1.3436 0.7124 1.6135 -0.6699 -0.4884 -0.0060 0.5591
1305031226.7733 1.3433 0.7129 1.6122 -0.6711 -0.4896 0.0018 0.5567
1305031226.7833 1.3433 0.7128 1.6121 -0.6741 -0.4921 0.0051 0.5509
1305031226.7932 1.3424 0.7128 1.6119 -0.6758 -0.4960 0.0109 0.5451
1305031226.8133 1.3412 0.7127 1.6110 -0.6801 -0.5018 0.0270 0.5337
1305031226.8232 1.3411 0.7125 1.6101 -0.6833 -0.5026 0.0363 0.5283
1305031226.8332 1.3404 0.7123 1.6097 -0.6854 -0.5050 0.0447 0.5226
1305031226.8433 1.3398 0.7123 1.6090 -0.6859 -0.5075 0.0548 0.5187
1305031226.8533 1.3390 0.7122 1.6084 -0.6862 -0.5115 0.0641 0.5132
1305031226.8633 1.3383 0.7118 1.6075 -0.6873 -0.5162 0.0730 0.5058
1305031226.8732 1.3378 0.7117 1.6066 0.6878 0.5209 -0.0824 -0.4989
1305031226.8833 1.3370 0.7116 1.6060 0.6877 0.5253 -0.0909 -0.4928
1305031226.8932 1.3368 0.7114 1.6053 0.6889 0.5280 -0.0981 -0.4869
1305031226.9032 1.3362 0.7112 1.6045 0.6901 0.5290 -0.1047 -0.4827
1305031226.9132 1.3357 0.7113 1.6040 0.6914 0.5298 -0.1105 -0.4787
1305031226.9232 1.3353 0.7110 1.6033 0.6934 0.5302 -0.1152 -0.4742
1305031226.9332 1.3348 0.7107 1.6026 0.6947 0.5315 -0.1196 -0.4697
1305031226.9432 1.3341 0.7105 1.6017 0.6947 0.5338 -0.1261 -0.4654
1305031226.9533 1.3335 0.7101 1.6008 0.6945 0.5373 -0.1331 -0.4597
1305031226.9632 1.3328 0.7096 1.5999 0.6949 0.5424 -0.1395 -0.4510
1305031226.9732 1.3318 0.7093 1.5987 0.6940 0.5460 -0.1482 -0.4453
1305031226.9832 1.3312 0.7088 1.5977 0.6936 0.5492 -0.1562 -0.4392
1305031226.9932 1.3305 0.7085 1.5967 0.6930 0.5506 -0.1654 -0.4350
1305031227.0032 1.3301 0.7080 1.5958 0.6946 0.5518 -0.1709 -0.4288
1305031227.0132 1.3294 0.7075 1.5948 0.6959 0.5530 -0.1763 -0.4229
1305031227.0233 1.3288 0.7070 1.5938 0.6970 0.5545 -0.1827 -0.4163
1305031227.0332 1.3281 0.7064 1.5926 0.6974 0.5569 -0.1892 -0.4097
1305031227.0432 1.3275 0.7057 1.5916 0.6971 0.5601 -0.1962 -0.4022
1305031227.0532 1.3268 0.7049 1.5905 0.6968 0.5638 -0.2040 -0.3938
1305031227.0632 1.3262 0.7041 1.5894 0.6960 0.5673 -0.2124 -0.3856
1305031227.0732 1.3253 0.7033 1.5884 0.6952 0.5702 -0.2215 -0.3775
1305031227.0832 1.3248 0.7024 1.5873 0.6951 0.5723 -0.2296 -0.3695
1305031227.0932 1.3241 0.7017 1.5864 0.6951 0.5740 -0.2382 -0.3615
1305031227.1032 1.3234 0.7007 1.5857 0.6948 0.5747 -0.2468 -0.3550
1305031227.1132 1.3229 0.7001 1.5851 0.6947 0.5761 -0.2543 -0.3476
1305031227.1232 1.3226 0.6993 1.5844 0.6944 0.5772 -0.2616 -0.3408
1305031227.1332 1.3222 0.6985 1.5839 0.6943 0.5790 -0.2678 -0.3332
1305031227.1432 1.3216 0.6978 1.5832 0.6934 0.5803 -0.2750 -0.3268
1305031227.1533 1.3211 0.6970 1.5827 0.6923 0.5814 -0.2821 -0.3209
1305031227.1632 1.3206 0.6962 1.5822 0.6910 0.5833 -0.2886 -0.3148
1305031227.1732 1.3204 0.6954 1.5815 0.6903 0.5850 -0.2941 -0.3077
1305031227.1832 1.3203 0.6945 1.5813 0.6897 0.5867 -0.2992 -0.3011
1305031227.1932 1.3194 0.6938 1.5809 0.6877 0.5876 -0.3060 -0.2969
1305031227.2032 1.3190 0.6933 1.5806 0.6861 0.5881 -0.3119 -0.2935
1305031227.2132 1.3194 0.6926 1.5807 0.6859 0.5889 -0.3147 -0.2894
1305031227.2232 1.3190 0.6920 1.5805 0.6844 0.5893 -0.3194 -0.2869
1305031227.2332 1.3186 0.6913 1.5803 0.6826 0.5903 -0.3234 -0.2845
1305031227.2432 1.3186 0.6907 1.5802 0.6815 0.5913 -0.3258 -0.2824
1305031227.2532 1.3184 0.6903 1.5799 0.6807 0.5928 -0.3274 -0.2796
1305031227.2632 1.3182 0.6896 1.5796 0.6796 0.5948 -0.3285 -0.2764
1305031227.2733 1.3182 0.6891 1.5794 0.6793 0.5961 -0.3288 -0.2739
1305031227.2832 1.3177 0.6884 1.5792 0.6776 0.5983 -0.3305 -0.2715
1305031227.2932 1.3173 0.6876 1.5790 0.6762 0.5998 -0.3324 -0.2694
1305031227.3033 1.3169 0.6870 1.5789 0.6748 0.6007 -0.3345 -0.2681
1305031227.3132 1.3167 0.6863 1.5789 0.6734 0.6027 -0.3356 -0.2659
1305031227.3232 1.3161 0.6855 1.5787 0.6716 0.6042 -0.3382 -0.2637
1305031227.3332 1.3153 0.6851 1.5789 0.6692 0.6071 -0.3392 -0.2618
1305031227.3433 1.3153 0.6840 1.5788 0.6677 0.6096 -0.3406 -0.2579
1305031227.3532 1.3152 0.6828 1.5786 0.6659 0.6116 -0.3432 -0.2543
1305031227.3632 1.3150 0.6816 1.5784 0.6641 0.6135 -0.3463 -0.2502
1305031227.3733 1.3149 0.6804 1.5783 0.6622 0.6161 -0.3490 -0.2452
1305031227.3832 1.3147 0.6790 1.5784 0.6602 0.6187 -0.3521 -0.2396
1305031227.3932 1.3134 0.6773 1.5773 0.6567 0.6190 -0.3610 -0.2350
1305031227.4032 1.3132 0.6758 1.5771 0.6552 0.6210 -0.3647 -0.2282
1305031227.4132 1.3126 0.6742 1.5768 0.6524 0.6233 -0.3701 -0.2213
1305031227.4232 1.3125 0.6725 1.5767 0.6500 0.6254 -0.3746 -0.2146
1305031227.4332 1.3122 0.6706 1.5767 0.6468 0.6278 -0.3797 -0.2082
1305031227.4432 1.3119 0.6691 1.5766 0.6428 0.6299 -0.3862 -0.2021
1305031227.4532 1.3115 0.6671 1.5766 0.6388 0.6325 -0.3921 -0.1953
1305031227.4632 1.3114 0.6653 1.5765 0.6349 0.6344 -0.3986 -0.1885
1305031227.4732 1.3112 0.6633 1.5765 0.6307 0.6359 -0.4062 -0.1814
1305031227.4832 1.3110 0.6615 1.5765 0.6266 0.6379 -0.4127 -0.1736
1305031227.4932 1.3107 0.6595 1.5763 0.6226 0.6393 -0.4201 -0.1652
1305031227.5032 1.3108 0.6576 1.5764 0.6190 0.6415 -0.4253 -0.1562
1305031227.5132 1.3108 0.6555 1.5764 0.6150 0.6433 -0.4315 -0.1474
1305031227.5232 1.3105 0.6533 1.5762 0.6103 0.6447 -0.4388 -0.1388
1305031227.5332 1.3103 0.6512 1.5762 0.6056 0.6463 -0.4455 -0.1308
1305031227.5432 1.3103 0.6497 1.5762 0.6003 0.6482 -0.4520 -0.1235
1305031227.5533 1.3103 0.6473 1.5763 0.5952 0.6489 -0.4593 -0.1165
1305031227.5632 1.3104 0.6454 1.5766 0.5904 0.6510 -0.4647 -0.1082
1305031227.5732 1.3105 0.6435 1.5766 0.5856 0.6527 -0.4700 -0.1006
1305031227.5832 1.3105 0.6416 1.5765 0.5807 0.6531 -0.4769 -0.0935
1305031227.5932 1.3105 0.6399 1.5766 0.5765 0.6535 -0.4828 -0.0863
1305031227.6032 1.3103 0.6382 1.5766 0.5723 0.6540 -0.4884 -0.0791
1305031227.6132 1.3103 0.6364 1.5769 0.5684 0.6546 -0.4932 -0.0716
1305031227.6232 1.3103 0.6350 1.5771 0.5647 0.6555 -0.4974 -0.0638
1305031227.6332 1.3104 0.6334 1.5772 0.5612 0.6554 -0.5022 -0.0569
1305031227.6432 1.3104 0.6318 1.5772 0.5576 0.6554 -0.5069 -0.0507
1305031227.6532 1.3105 0.6308 1.5774 0.5544 0.6563 -0.5098 -0.0449
1305031227.6632 1.3104 0.6294 1.5775 0.5511 0.6561 -0.5140 -0.0399
1305031227.6732 1.3103 0.6281 1.5776 0.5479 0.6565 -0.5173 -0.0346
1305031227.6832 1.3103 0.6271 1.5777 0.5451 0.6575 -0.5194 -0.0300
1305031227.6932 1.3103 0.6259 1.5778 0.5422 0.6578 -0.5221 -0.0253
1305031227.7032 1.3101 0.6249 1.5779 0.5398 0.6581 -0.5244 -0.0220
1305031227.7132 1.3101 0.6239 1.5779 0.5377 0.6582 -0.5266 -0.0184
1305031227.7233 1.3100 0.6231 1.5781 0.5355 0.6587 -0.5283 -0.0148
1305031227.7332 1.3100 0.6222 1.5783 0.5339 0.6587 -0.5300 -0.0119
1305031227.7432 1.3100 0.6214 1.5784 0.5319 0.6588 -0.5320 -0.0086
1305031227.7532 1.3098 0.6206 1.5785 0.5298 0.6593 -0.5336 -0.0056
1305031227.7632 1.3096 0.6197 1.5785 0.5284 0.6588 -0.5355 -0.0028
1305031227.7732 1.3096 0.6189 1.5786 0.5270 0.6589 -0.5367 0.0003
1305031227.7833 1.3096 0.6182 1.5787 0.5255 0.6597 -0.5372 0.0039
1305031227.7932 1.3094 0.6175 1.5787 0.5239 0.6600 -0.5384 0.0066
1305031227.8031 1.3094 0.6168 1.5788 0.5224 0.6607 -0.5390 0.0096
1305031227.8132 1.3095 0.6162 1.5788 0.5209 0.6613 -0.5396 0.0123
1305031227.8232 1.3092 0.6154 1.5788 0.5188 0.6615 -0.5414 0.0144
1305031227.8333 1.3093 0.6148 1.5788 0.5174 0.6617 -0.5424 0.0170
1305031227.8432 1.3092 0.6142 1.5790 0.5155 0.6619 -0.5439 0.0193
1305031227.8532 1.3089 0.6136 1.5791 0.5134 0.6617 -0.5460 0.0216
1305031227.8633 1.3091 0.6130 1.5791 0.5120 0.6616 -0.5474 0.0248
1305031227.8732 1.3090 0.6123 1.5791 0.5103 0.6615 -0.5489 0.0276
1305031227.8833 1.3088 0.6119 1.5791 0.5088 0.6612 -0.5506 0.0295
1305031227.8932 1.3088 0.6113 1.5790 0.5079 0.6607 -0.5518 0.0317
1305031227.9032 1.3088 0.6107 1.5790 0.5070 0.6605 -0.5527 0.0333
1305031227.9132 1.3087 0.6104 1.5790 0.5062 0.6607 -0.5533 0.0342
1305031227.9232 1.3086 0.6100 1.5790 0.5054 0.6608 -0.5538 0.0346
1305031227.9332 1.3085 0.6097 1.5789 0.5049 0.6608 -0.5543 0.0344
1305031227.9433 1.3084 0.6094 1.5788 0.5043 0.6610 -0.5546 0.0343
1305031227.9533 1.3083 0.6091 1.5787 0.5036 0.6616 -0.5545 0.0345
1305031227.9632 1.3082 0.6088 1.5786 0.5032 0.6620 -0.5544 0.0343
1305031227.9733 1.3081 0.6087 1.5785 0.5029 0.6623 -0.5543 0.0341
1305031227.9832 1.3080 0.6086 1.5784 0.5030 0.6625 -0.5541 0.0336
1305031227.9932 1.3079 0.6087 1.5784 0.5032 0.6627 -0.5537 0.0331
1305031228.0032 1.3076 0.6087 1.5783 0.5040 0.6624 -0.5533 0.0319
1305031228.0132 1.3073 0.6088 1.5781 0.5052 0.6625 -0.5522 0.0305
1305031228.0233 1.3072 0.6091 1.5781 0.5066 0.6640 -0.5491 0.0301
1305031228.0332 1.3069 0.6091 1.5779 0.5082 0.6637 -0.5482 0.0282
1305031228.0432 1.3067 0.6095 1.5777 0.5098 0.6641 -0.5462 0.0264
1305031228.0532 1.3064 0.6096 1.5775 0.5117 0.6641 -0.5445 0.0242
1305031228.0632 1.3061 0.6098 1.5771 0.5134 0.6636 -0.5437 0.0215
1305031228.0732 1.3058 0.6102 1.5770 0.5154 0.6642 -0.5412 0.0189
1305031228.0832 1.3055 0.6108 1.5768 0.5174 0.6645 -0.5390 0.0158
1305031228.0932 1.3052 0.6111 1.5766 0.5198 0.6640 -0.5374 0.0121
1305031228.1032 1.3046 0.6115 1.5763 0.5219 0.6640 -0.5354 0.0080
1305031228.1132 1.3044 0.6121 1.5761 0.5246 0.6645 -0.5322 0.0046
1305031228.1232 1.3039 0.6125 1.5758 0.5271 0.6639 -0.5304 0.0005
1305031228.1345 1.3038 0.6130 1.5756 0.5297 0.6644 -0.5272 -0.0029
1305031228.1432 1.3037 0.6139 1.5754 0.5327 0.6650 -0.5234 -0.0061
1305031228.1532 1.3031 0.6146 1.5751 0.5358 0.6643 -0.5210 -0.0110
1305031228.1632 1.3029 0.6152 1.5751 0.5390 0.6651 -0.5167 -0.0147
1305031228.1732 1.3025 0.6159 1.5747 0.5425 0.6647 -0.5133 -0.0199
1305031228.1832 1.3020 0.6168 1.5744 0.5459 0.6641 -0.5102 -0.0257
1305031228.1932 1.3017 0.6175 1.5740 0.5494 0.6639 -0.5063 -0.0309
1305031228.2032 1.3013 0.6183 1.5736 0.5534 0.6634 -0.5023 -0.0367
1305031228.2132 1.3009 0.6190 1.5733 0.5567 0.6635 -0.4981 -0.0421
1305031228.2232 1.3006 0.6200 1.5732 0.5611 0.6636 -0.4925 -0.0473
1305031228.2332 1.3003 0.6208 1.5728 0.5651 0.6627 -0.4884 -0.0532
1305031228.2432 1.2998 0.6219 1.5724 0.5691 0.6628 -0.4831 -0.0590
1305031228.2532 1.2995 0.6228 1.5720 0.5730 0.6628 -0.4776 -0.0651
1305031228.2632 1.2991 0.6238 1.5717 0.5767 0.6631 -0.4718 -0.0717
1305031228.2732 1.2987 0.6248 1.5713 0.5805 0.6626 -0.4665 -0.0792
1305031228.2832 1.2984 0.6258 1.5708 0.5842 0.6628 -0.4604 -0.0860
1305031228.2932 1.2980 0.6267 1.5703 0.5881 0.6621 -0.4549 -0.0938
1305031228.3032 1.2977 0.6278 1.5700 0.5915 0.6626 -0.4483 -0.1004
1305031228.3132 1.2973 0.6286 1.5693 0.5944 0.6625 -0.4431 -0.1072
1305031228.3232 1.2969 0.6295 1.5689 0.5978 0.6625 -0.4368 -0.1135
1305031228.3332 1.2966 0.6304 1.5686 0.6015 0.6624 -0.4302 -0.1201
1305031228.3432 1.2963 0.6314 1.5680 0.6057 0.6620 -0.4230 -0.1266
1305031228.3532 1.2962 0.6327 1.5676 0.6105 0.6619 -0.4142 -0.1328
1305031228.3632 1.2957 0.6335 1.5667 0.6143 0.6611 -0.4076 -0.1395
1305031228.3732 1.2957 0.6347 1.5662 0.6183 0.6610 -0.3992 -0.1467
1305031228.3832 1.2954 0.6356 1.5657 0.6220 0.6615 -0.3902 -0.1525
1305031228.3932 1.2951 0.6365 1.5652 0.6247 0.6617 -0.3826 -0.1598
1305031228.4032 1.2948 0.6373 1.5646 0.6276 0.6613 -0.3755 -0.1666
1305031228.4132 1.2948 0.6381 1.5640 0.6302 0.6617 -0.3677 -0.1729
1305031228.4232 1.2946 0.6388 1.5634 0.6327 0.6612 -0.3612 -0.1790
1305031228.4332 1.2943 0.6399 1.5630 0.6356 0.6607 -0.3539 -0.1852
1305031228.4432 1.2942 0.6407 1.5624 0.6389 0.6594 -0.3472 -0.1911
1305031228.4532 1.2945 0.6414 1.5621 0.6436 0.6579 -0.3385 -0.1959
1305031228.4632 1.2941 0.6424 1.5613 0.6455 0.6576 -0.3325 -0.2007
1305031228.4733 1.2940 0.6433 1.5610 0.6486 0.6563 -0.3259 -0.2060
1305031228.4831 1.2938 0.6441 1.5604 0.6511 0.6556 -0.3195 -0.2104
1305031228.4932 1.2939 0.6448 1.5600 0.6531 0.6543 -0.3147 -0.2150
1305031228.5032 1.2940 0.6456 1.5599 0.6554 0.6539 -0.3082 -0.2191
1305031228.5132 1.2937 0.6465 1.5595 0.6570 0.6527 -0.3034 -0.2240
1305031228.5232 1.2932 0.6471 1.5591 0.6590 0.6512 -0.2990 -0.2288
1305031228.5331 1.2933 0.6479 1.5589 0.6614 0.6499 -0.2930 -0.2330
1305031228.5432 1.2929 0.6487 1.5584 0.6632 0.6477 -0.2895 -0.2386
1305031228.5532 1.2929 0.6495 1.5580 0.6655 0.6469 -0.2830 -0.2419
1305031228.5632 1.2937 0.6508 1.5581 0.6686 0.6457 -0.2753 -0.2456
1305031228.5732 1.2933 0.6515 1.5581 0.6703 0.6442 -0.2698 -0.2507
1305031228.5832 1.2931 0.6525 1.5581 0.6717 0.6427 -0.2650 -0.2560
1305031228.5932 1.2933 0.6534 1.5582 0.6734 0.6411 -0.2593 -0.2612
1305031228.6032 1.2930 0.6543 1.5583 0.6741 0.6391 -0.2552 -0.2685
1305031228.6132 1.2934 0.6553 1.5586 0.6758 0.6369 -0.2497 -0.2745
1305031228.6232 1.2938 0.6561 1.5590 0.6769 0.6364 -0.2439 -0.2779
1305031228.6331 1.2939 0.6569 1.5591 0.6779 0.6347 -0.2394 -0.2834
1305031228.6432 1.2941 0.6578 1.5593 0.6790 0.6329 -0.2345 -0.2887
1305031228.6532 1.2940 0.6587 1.5595 0.6797 0.6315 -0.2301 -0.2938
1305031228.6632 1.2938 0.6595 1.5597 0.6797 0.6302 -0.2267 -0.2991
1305031228.6732 1.2942 0.6603 1.5601 0.6808 0.6285 -0.2222 -0.3036
1305031228.6831 1.2948 0.6612 1.5603 0.6830 0.6262 -0.2167 -0.3072
1305031228.6932 1.2950 0.6619 1.5607 0.6839 0.6249 -0.2121 -0.3112
1305031228.7032 1.2948 0.6627 1.5609 0.6839 0.6234 -0.2092 -0.3162
1305031228.7132 1.2953 0.6636 1.5613 0.6852 0.6207 -0.2044 -0.3216
1305031228.7233 1.2952 0.6646 1.5616 0.6855 0.6186 -0.2002 -0.3276
1305031228.7341 1.2959 0.6656 1.5620 0.6874 0.6160 -0.1931 -0.3328
1305031228.7432 1.2962 0.6665 1.5624 0.6887 0.6135 -0.1868 -0.3383
1305031228.7532 1.2964 0.6674 1.5627 0.6899 0.6109 -0.1806 -0.3438
1305031228.7632 1.2963 0.6685 1.5629 0.6905 0.6088 -0.1740 -0.3499
1305031228.7732 1.2965 0.6694 1.5632 0.6918 0.6062 -0.1671 -0.3550
1305031228.7832 1.2967 0.6704 1.5637 0.6927 0.6035 -0.1602 -0.3610
1305031228.7932 1.2972 0.6713 1.5641 0.6936 0.6008 -0.1534 -0.3665
1305031228.8032 1.2982 0.6723 1.5646 0.6951 0.5971 -0.1458 -0.3730
1305031228.8132 1.2988 0.6734 1.5652 0.6960 0.5931 -0.1388 -0.3802
1305031228.8232 1.2992 0.6743 1.5659 0.6968 0.5902 -0.1308 -0.3861
1305031228.8332 1.2992 0.6751 1.5661 0.6969 0.5879 -0.1233 -0.3918
1305031228.8432 1.2998 0.6759 1.5667 0.6979 0.5851 -0.1149 -0.3968
1305031228.8532 1.3003 0.6764 1.5669 0.6986 0.5818 -0.1077 -0.4022
1305031228.8632 1.3002 0.6772 1.5671 0.6981 0.5799 -0.1013 -0.4076
1305031228.8732 1.3002 0.6778 1.5677 0.6981 0.5773 -0.0945 -0.4128
1305031228.8832 1.3008 0.6784 1.5680 0.6991 0.5745 -0.0880 -0.4165
1305031228.8932 1.3011 0.6792 1.5683 0.6992 0.5714 -0.0823 -0.4216
1305031228.9032 1.3013 0.6800 1.5686 0.6991 0.5683 -0.0773 -0.4270
1305031228.9132 1.3016 0.6805 1.5690 0.6991 0.5661 -0.0709 -0.4311
1305031228.9232 1.3020 0.6811 1.5694 0.6990 0.5627 -0.0653 -0.4364
1305031228.9331 1.3019 0.6815 1.5700 0.6980 0.5600 -0.0597 -0.4423
1305031228.9433 1.3025 0.6820 1.5705 0.6976 0.5579 -0.0538 -0.4464
1305031228.9532 1.3026 0.6824 1.5711 0.6958 0.5559 -0.0490 -0.4521
1305031228.9632 1.3027 0.6830 1.5715 0.6940 0.5541 -0.0444 -0.4576
1305031228.9732 1.3030 0.6833 1.5721 0.6927 0.5535 -0.0382 -0.4608
1305031228.9832 1.3034 0.6836 1.5724 0.6920 0.5508 -0.0333 -0.4655
1305031228.9932 1.3037 0.6837 1.5730 0.6909 0.5487 -0.0279 -0.4699
1305031229.0032 1.3037 0.6842 1.5735 0.6888 0.5467 -0.0235 -0.4755
1305031229.0132 1.3043 0.6844 1.5740 0.6887 0.5445 -0.0171 -0.4785
1305031229.0232 1.3046 0.6850 1.5744 0.6870 0.5420 -0.0122 -0.4839
1305031229.0331 1.3047 0.6853 1.5750 0.6853 0.5405 -0.0074 -0.4881
1305031229.0433 1.3049 0.6849 1.5752 0.6847 0.5380 -0.0013 -0.4917
1305031229.0532 1.3051 0.6851 1.5758 0.6830 0.5369 0.0035 -0.4953
